Site,AREA.UplandDeciduous,AREA.UplandShrubs,AREA.Water,AREA.Nonforest,AREA.LowlandDeciduous,AREA.UplandMixedwood,AREA.LowlandMixedwood,AREA.UplandSpruce,AREA.LowlandSpruce,AREA.Pine,AREA.Tamarack,AREA.OpenWetland,PERCENTAGE.UplandDeciduous,PERCENTAGE.UplandShrubs,PERCENTAGE.Water,PERCENTAGE.Nonforest,PERCENTAGE.LowlandDeciduous,PERCENTAGE.UplandMixedwood,PERCENTAGE.LowlandMixedwood,PERCENTAGE.UplandSpruce,PERCENTAGE.LowlandSpruce,PERCENTAGE.Pine,PERCENTAGE.Tamarack,PERCENTAGE.OpenWetland,AREA.Cutblocks,AREA.Pipeline,AREA.TransmissionLine,AREA.WellSite,PERCENTAGE.Cutblocks,PERCENTAGE.Pipeline,PERCENTAGE.TransmissionLine,PERCENTAGE.WellSite,AREA.BlockFeatures,PERCENTAGE.BlockFeatures,AREA.Road,PERCENTAGE.Road,AREA.Trail,PERCENTAGE.Trail,AREA.3DSeismicLine,AREA.SeismicLine,PERCENTAGE.3DSeismicLine,PERCENTAGE.SeismicLine,Radius,Treatment
12,112729.4832,0,0,0,0,0,0,58276.09978,11191.95341,14151.36244,0,0,57.41265433,0,0,0,0,0,0,29.6797739,5.700015066,7.20722971,0,0,0,11161.21472,0,0,0,5.684359977,0,0,0,0,4765.609079,2.427104774,0,0,7249.66951,3301.315509,3.692226363,1.681346182,250,Pre
13,101795.9177,0,0,0,0,41388.92026,0,0,0,53163.84533,0,0,51.84423514,0,0,0,0,21.07920399,0,0,0,27.07612409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.9767397,0,0.113561121,0,250,Pre
14,0,0,0,9948.12882,0,0,0,0,159053.5992,10078.79636,17268.06377,0,0,0,0,5.066540404,0,0,0,0,81.00533287,5.133088835,8.794552661,0,0,11110.71178,0,13081.61094,0,5.658639044,0,6.662409743,0,0,0,0,152.7501459,0.077795011,11765.4674,1120.233163,5.992103345,0.570530065,250,Pre
15,72609.94551,0,946.9312608,29752.18492,0,0,0,0,63001.6073,30038.18875,0,0,36.97994159,0,0.482268131,15.15266335,0,0,0,0,32.08645512,15.29832391,0,0,0,0,0,9813.939612,0,0,0,4.998198402,0,0,5946.697229,3.028628029,0,0,9372.041329,1272.184037,4.773141454,0.64791801,250,Pre
16,0,0,0,22220.36146,0,0,0,18790.22097,41030.84142,100359.9847,0,13947.16771,0,0,0,11.31673716,0,0,0,9.569780958,20.89683594,51.11292051,0,7.103234184,0,0,0,9976.949381,0,0,0,5.081218595,0,0,5850.840555,2.979808626,540.9245786,0.275490626,14336.96771,0,7.301757697,0,250,Pre
17,11669.3598,0,0,0,0,10974.91984,0,0,56443.57107,95496.74655,0,21764.19408,5.943156145,0,0,0,0,5.589480776,0,0,28.74647469,48.63609364,0,11.08441302,0,7915.648567,0,19673.1631,0,4.031406711,0,10.01945969,0,0,0,0,4950.226004,2.521129402,10210.61857,0,5.200225336,0,250,Pre
18,95876.30119,0,0,20868.52712,0,0,0,0,73122.17573,0,6481.70165,0,48.82939923,0,0,10.62825359,0,0,0,0,37.2408183,0,3.301103543,0,0,0,13129.07462,0,0,0,6.686582798,0,0,0,6506.905558,3.313939788,0,0,933.2517454,1396.026465,0.475301211,0.71099044,250,Pre
19,49131.35973,0,0,0,0,0,0,0,3144.827188,135030.2664,0,9042.21161,25.02239604,0,0,0,0,0,0,0,1.601647335,68.77034999,0,4.605160557,0,0,0,234.5397137,0,0,0,0.119450095,2459.434692,1.252579803,0,0,4482.788256,2.283065311,5221.433032,0,2.659254006,0,250,Pre
20,30327.82606,0,0,0,0,14792.28866,0,91795.41413,57921.27419,1511.84254,0,0,15.44583498,0,0,0,0,7.533650754,0,46.75102052,29.49906271,0.769975083,0,0,0,0,0,0,0,0,0,0,23687.735,12.06406437,0,0,5638.252182,2.871538256,0,0,0,0,250,Pre
21,3701.455066,0,0,25163.94456,0,21676.69541,24784.7573,2907.331704,45487.8407,11991.30554,0,60635.24583,1.885135585,0,0,12.81589173,0,11.03985032,12.62277324,1.480691878,23.16676703,6.107121763,0,30.88127712,0,0,10304.23489,0,0,0,5.247903737,0,0,0,0,0,184.705464,0.09406972,0,0,0,0,250,Pre
22,0,0,0,17150.15827,0,12885.67124,0,0,68115.68159,98197.31432,0,0,0,0,0,8.734503885,0,6.562618475,0,0,34.69103177,50.01148151,0,0,0,11526.565,0,0,0,5.870431348,0,0,0,0,3876.225812,1.974145595,0,0,0,2344.892398,0,1.194243892,250,Pre
23,1.745257753,0,0,20011.28911,0,73359.28191,0,0,33331.44945,69645.04425,0,0,0.000888852,0,0,10.19166585,0,37.36157548,0,0,16.97556781,35.46992977,0,0,0,0,0,0,0,0,0,0,0,0,6126.866015,3.120387238,0,0,0,158.7668283,0,0.080859282,250,Pre
24,0,6110.236608,0,18712.23757,0,0,0,0,47079.26948,97334.38686,8210.058903,18902.60681,0,3.111917951,0,9.530064338,0,0,0,0,23.97727506,49.57199617,4.181348664,9.627018598,0,0,0,0,0,0,0,0,0,0,4719.010739,2.403372434,0,0,0,0,0,0,250,Pre
25,47562.99914,0,0,38486.54241,0,0,0,0,33311.53708,75517.33949,13.82901719,1456.441957,24.22363655,0,0,19.60103509,0,0,0,0,16.96542652,38.46066518,0.007043061,0.741759798,0,11388.80425,0,0,0,5.800270375,0,0,12882.63202,6.561070609,4238.232631,2.158514154,0,0,8057.46373,0,4.103632581,0,250,Pre
26,33679.47097,0,0,0,0,14151.00556,0,0,115761.7395,17411.21877,0,15345.23746,17.15281372,0,0,0,0,7.207047953,0,0,58.9569698,8.867460906,0,7.815265261,0,9854.735512,0,0,0,5.018975583,0,0,0,0,0,0,5663.003904,2.884144205,0,998.9391279,0,0.50875552,250,Pre
27,45230.32503,0,9332.479558,18957.60698,0,9173.871248,0,1845.002102,10561.23734,97688.29283,0,3560.033072,23.03561538,0,4.75299281,9.655029952,0,4.672214261,0,0.939651854,5.378794011,49.752239,0,1.813109955,0,7392.036967,0,6496.303152,0,3.764733513,0,3.308540027,0,0,0,0,9197.955186,4.684480109,0,0,0,0,250,Pre
28,147170.2237,0,0,0,0,0,0,28165.24316,0,3759.424768,0,17253.72961,74.95317943,0,0,0,0,0,0,14.34444055,0,1.914659312,0,8.787252333,0,0,0,16524.53045,0,0,0,8.415874253,0,0,0,0,657.69158,0.334959571,3928.386431,1568.736163,2.00071078,0.798950767,250,Pre
29,99875.77027,0,0,0,0,0,216.8476312,0,35629.10076,40153.77206,11460.73616,9012.551581,50.86631211,0,0,0,0,0,0.110439592,0,18.14575201,20.45014818,5.836904999,4.590054829,0,8760.074657,0,0,0,4.461469387,0,0,0,0,0,0,6334.50749,3.226138173,5849.908362,436.3671946,2.979333864,0.222239987,250,Pre
30,143247.0182,0,0,20164.04116,0,10105.18213,0,0,22832.53257,0,0,0,72.95510728,0,0,10.26946183,0,5.146527,0,0,11.62851335,0,0,0,19696.94488,0,0,0,10.03157165,0,0,0,0,0,0,0,4816.19156,2.45286622,0,0,0,0,250,Pre
31,130233.0531,0,0,26807.08922,0,0,0,8531.080522,0,0,0,30777.51941,66.32714932,0,0,13.65273843,0,0,0,4.344843632,0,0,0,15.67486192,6648.748967,11808.89222,0,0,3.386180043,6.014219423,0,0,0,0,7602.469277,3.871905808,0,0,0,1026.200782,0,0.522639767,250,Pre
32,1734.570638,0,0,52864.79425,0,0,0,107865.6086,18519.70833,15364.0777,0,0,0.883409572,0,0,26.92381863,0,0,0,54.93550335,9.43201,7.824860519,0,0,38185.77649,0,0,0,19.44785627,0,0,0,0,0,4018.411701,2.046560274,4566.6374,2.32576933,0,0,0,0,250,Pre
33,18679.91991,0,0,13559.29667,0,118850.9097,0,81.1623377,44502.95134,0,674.5883602,0,9.513605087,0,0,6.905693087,0,60.53027129,0,0.041335639,22.665167,0,0.343565031,0,0,1136.416593,0,0,0,0.578772218,0,0,0,0,4328.015616,2.204240253,0,0,2830.647367,0,1.441636866,0,250,Pre
34,11523.81489,0,0,11296.04299,0,0,0,0,1510.563683,120069.6095,37608.1941,14340.56063,5.869030727,0,0,5.753027451,0,0,0,0,0.769323767,61.15094995,19.15369597,7.303587556,0,5964.788378,0,0,0,3.037841776,0,0,0,0,3601.303418,1.83412877,738.845258,0.3762908,2398.403539,0,1.221496892,0,250,Pre
35,0,0,0,14754.78668,0,20049.02545,0,0,61903.52794,64109.38188,18409.60023,17122.54714,0,0,0,7.514551149,0,10.21088482,0,0,31.52720789,32.65064008,9.375932409,8.72044165,0,0,0,0,0,0,0,0,0,0,4552.169678,2.31840098,0,0,5234.161689,0,2.665736658,0,250,Pre
36,108629.6346,0,0,12089.51531,0,0,0,0,69918.59599,5711.011957,0,0,55.3246186,0,0,6.157139587,0,0,0,0,35.60924853,2.908594506,0,0,0,0,0,0,0,0,0,0,0,0,4825.829425,2.457774744,0,0,1029.088919,0,0.524110683,0,250,Pre
37,39413.87043,0,0,21745.71248,0,520.6477882,0,0,134668.5338,0,0,0,20.07331938,0,0,11.07500042,0,0.265163741,0,0,68.58612108,0,0,0,23549.50321,0,0,905.6370096,11.9936635,0,0,0.461237142,0,0,7193.882014,3.663814024,859.5838632,0.437782467,0,2171.913388,0,1.106146405,250,Pre
38,57293.36763,23493.57991,0,46201.82052,0,0,0,0,69360.08105,0,0,0,29.17927253,11.965182,0,23.53039397,0,0,0,0,35.32479921,0,0,0,26726.23052,0,0,0,13.61155743,0,0,0,0,0,8244.586927,4.198933642,0,0,0,1325.389585,0,0.675015373,250,Pre
39,53242.90813,0,15155.23725,26294.37358,0,117.8976638,0,13902.96694,4684.132302,0,0,82951.21673,27.11639044,0,7.718498949,13.3916145,0,0.060044787,0,7.080722918,2.385608992,0,0,42.24670777,0,10030.48225,0,0,0,5.10848266,0,0,0,0,4708.045137,2.397787699,59.2085372,0.03015466,0,0,0,0,250,Pre
40,2354.816166,0,0,22257.86662,0,3172.751522,12645.88416,0,104063.7531,45162.00609,2669.036795,4022.595959,1.199298025,0,0,11.33583838,0,1.615869081,6.440495917,0,52.99923424,23.00082083,1.359329278,2.048691299,0,0,0,0,0,0,0,0,0,0,7748.594432,3.946326739,0,0,0,3924.893551,0,1.998931871,250,Pre
41,0,14969.95724,0,31809.27875,0,56938.05919,2703.305358,44902.63908,45025.37675,0,0,0,0,7.624136616,0,16.20033264,0,28.99831543,1.376782113,22.8687263,22.93123608,0,0,0,35370.35556,0,0,0,18.01397416,0,0,0,0,0,4603.950846,2.344772912,0,0,0,2270.431244,0,1.156321137,250,Pre
42,195902.1514,0,0,446.3227386,0,0,0,0,0,0,0,0,99.7721464,0,0,0.227310304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879.835299,0,0.957392256,250,Pre
43,135327.4665,0,0,21007.54407,20844.86072,0,0,15766.77404,73.115511,0,0,3329.091336,68.92171272,0,0,10.69905434,10.61620039,0,0,8.029952082,0.037237424,0,0,1.695492295,74847.86758,0,0,0,38.11970593,0,0,0,0,0,4509.893657,2.296869978,0,0,0,2163.038999,0,1.101626716,250,Pre
44,127185.5807,0,0,19820.27387,0,0,0,3717.005434,45625.71463,0,0,0,64.77508435,0,0,10.09438259,0,0,0,1.893055322,23.23698565,0,0,0,31797.38518,0,0,9990.338828,16.19427529,0,0,5.088037784,0,0,3811.860203,1.94136446,0,0,0,4207.316272,0,2.142768582,250,Pre
45,148742.3802,0,0,20873.59007,625.3642786,3000.6516,0,0,23106.78937,0,0,0,75.75387216,0,0,10.63083213,0.318495412,1.528219311,0,0,11.76819119,0,0,0,67199.67355,5651.735186,0,0,34.2245127,2.878405094,0,0,0,0,4294.186408,2.187011179,0,0,0,1654.130293,0,0.842441641,250,Pre
46,95248.65788,0,0,58202.45474,0,1410.634386,0,35044.38531,6442.668285,0,0,0,48.50974312,0,0,29.64226679,0,0.718430194,0,17.84795888,3.281224014,0,0,0,75596.31008,0,0,0,38.50088457,0,0,0,0,0,4255.587914,2.167353127,0,0,0,0,0,0,250,Pre
47,87354.00556,0,0,15459.05157,0,6083.501292,0,0,44440.29503,43011.83144,0,0,44.48902971,0,0,7.873230315,0,3.098301766,0,0,22.6332564,21.90574587,0,0,35397.54335,0,0,0,18.02782079,0,0,0,0,0,2982.490715,1.518970048,0,0,0,0,0,0,250,Pre
48,36386.01548,0,0,12198.48961,0,424.467257,0,0,5616.598192,141723.1628,0,0,18.53124551,0,0,6.212639744,0,0.216179399,0,0,2.86050997,72.17901411,0,0,0,12467.88287,0,0,0,6.349840603,0,0,0,0,3466.427445,1.765437001,0,0,0,6893.957205,0,3.511063573,250,Pre
49,104195.0496,0,0,78909.56088,0,0,0,0,13236.79822,7.218987128,0,0,53.06610302,0,0,40.18830935,0,0,0,0,6.741445978,0.0036766,0,0,56326.461,0,0,0,28.68683102,0,0,0,0,0,4833.807236,2.46183781,2846.880952,1.449904563,0,3872.243053,0,1.972117193,250,Pre
50,61719.06174,0,0,32747.04492,0,0,0,15953.0472,85929.29175,0,0,0,31.43326003,0,0,16.67793303,0,0,0,8.124820222,43.76342892,0,0,0,22319.17136,0,0,8828.518222,11.36706063,0,0,4.496327409,0,0,4539.494799,2.311945717,446.3949667,0.22734709,0,355.3506561,0,0.180978603,250,Pre
51,112971.7668,0,0,0,0,0,0,20009.26145,47568.01692,0,0,15799.80149,57.53604835,0,0,0,0,0,0,10.19063318,24.22619208,0,0,8.046772823,63312.05336,0,0,0,32.244564,0,0,0,0,0,3906.135206,1.989378325,0,0,0,2244.009353,0,1.142864579,250,Pre
52,63957.10593,0,0,0,0,0,0,0,97251.2835,35140.26402,0,0,32.57308657,0,0,0,0,0,0,0,49.52967197,17.89678951,0,0,51961.18158,0,0,0,26.46361247,0,0,0,0,0,4643.151337,2.364737558,0,0,0,0,0,0,250,Pre
53,100668.4869,0,0,0,0,518.0456982,0,0,71479.4914,23682.76275,0,0,51.27003939,0,0,0,0,0.263838508,0,0,36.40420604,12.06153202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5630.439619,2.867559351,0,0,0,0,250,Pre
54,31630.4491,0,0,0,0,0,0,0,148417.2797,16301.00036,0,0,16.10925545,0,0,0,0,0,0,0,75.58829987,8.30203131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4576.855045,2.330973134,0,2116.095374,0,1.077718524,250,Pre
55,0,0,0,0,0,967.5211162,0,0,103781.7887,91599.42042,0,0,0,0,0,0,0,0.492754458,0,0,52.85563095,46.65120174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5551.494966,2.827353169,0,2.606227188,0,0.001327341,250,Pre
56,181219.5048,0,0,0,0,0,0,0,0,0,0,15129.38855,92.29433593,0,0,0,0,0,0,0,0,0,0,7.705334318,122693.5506,0,0,0,62.48731219,0,0,0,0,0,0,0,5472.510274,2.787126596,0,0,0,0,250,Pre
57,92906.43017,0,0,0,0,0,0,0,103442.313,0,0,0,47.31685634,0,0,0,0,0,0,0,52.68273739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3340.367327,1.70123511,0,808.7875125,0,0.411912098,250,Pre
58,105323.788,0,0,29380.86932,0,0,0,20755.71135,34291.27973,6597.151469,0,0,53.64096474,0,0,14.96355387,0,0,0,10.57079699,17.46440536,3.359901653,0,0,0,0,7873.030381,0,0,0,4.009701447,0,4620.589362,2.353246838,5072.901875,2.58360771,0,0,0,2689.397822,0,1.369699064,250,Pre
59,138387.6314,0,0,33891.89569,0,0,0,24069.11621,0,0,0,0,70.4802419,0,0,17.26100074,0,0,0,12.25830023,0,0,0,0,0,33418.49121,0,0,0,17.01989782,0,0,0,0,7086.166934,3.608955184,0,0,13032.93482,0,6.637619199,0,250,Pre
60,83003.44366,0,1893.886764,68902.48148,0,15969.23592,0,6887.225024,19692.56044,0,0,0,42.27330673,0,0.964548608,35.09174566,0,8.133065071,0,3.507634902,10.02933867,0,0,0,0,5082.175254,0,9079.212705,0,2.588330603,0,4.624005061,45553.28203,23.20009603,5126.247934,2.610776634,6237.999831,3.176987226,0,203.3449621,0,0.103562739,250,Pre
61,17001.2675,190.9730368,0,23003.09052,0,0,0,142388.0208,13765.15922,0,0,0,8.658674437,0.097261769,0,11.7153778,0,0,0,72.51762353,7.010538022,0,0,0,80155.54204,4837.548957,0,0,40.82288234,2.463743452,0,0,0,0,8203.655107,4.178087237,624.188854,0.317896773,0,469.4968225,0,0.239112768,250,Pre
62,0,0,0,12428.43402,0,0,0,122671.6005,10555.37172,12736.13876,0,37957.11362,0,0,0,6.329749469,0,0,0,62.47613312,5.375806675,6.486462206,0,19.33139923,413.3061273,0,0,0,0.210495082,0,0,0,0,0,4188.317086,2.133092376,0,0,0,1880.334165,0,0.957646327,250,Pre
63,105469.508,0,0,39632.87335,0,0,8615.344977,2756.371399,39874.70177,0,0,0,53.71517936,0,0,20.18485665,0,0,4.387759166,1.403808426,20.30801885,0,0,0,0,21355.63312,0,892.3415339,0,10.87633464,0,0.454465811,0,0,4569.916482,2.327439352,0,0,1000.037717,1182.149768,0.509315027,0.602063933,250,Pre
1,0,0,0,48445.04136,0,0,0,46921.93514,289801.8643,231260.8901,0,168966.941,0,0,0,6.16821424,0,0,0,5.974286333,36.89871938,29.44505104,0,21.5135391,0,0,0,0,0,0,0,0,0,0,9452.801311,1.203568044,0,0,54471.20009,0,6.935488601,0,500,Pre
2,0,0,0,112190.6333,0,72322.14571,0,0,350448.757,154159.3927,75924.06071,20351.60745,0,0,0,14.28455509,0,9.208341588,0,0,44.62052158,19.6281835,9.666951649,2.59124714,0,40907.66202,0,0,0,5.208525296,0,0,0,0,8227.351242,1.047538895,3077.801501,0.391877858,51105.15481,2765.488635,6.506910404,1.408451796,500,Pre
3,141877.4433,0,0,76390.77452,0,217311.1687,48.33259093,7677.87116,209155.025,56487.9701,76448.17891,0,18.06439713,0,0,9.726375498,0,27.66891734,0.006153897,0.977576918,26.63044488,7.192271733,9.733684451,0,0,27364.6136,0,48818.00554,0,3.484170817,0,6.215701515,0,0,0,0,11974.77939,1.524676266,19883.9852,12012.78966,2.531707626,6.118063535,500,Pre
4,3464.591824,0,2254.113516,72847.54056,0,0,30055.74522,0,261992.5409,262052.5236,37639.75441,115089.8538,0.441125532,0,0.287002647,9.275236938,0,0,3.826816337,0,33.35792635,33.36556359,4.792442377,14.65369531,38671.10296,36678.52232,0,16164.0988,4.923757752,4.670054506,0,2.05807698,0,0,0,0,12740.83357,1.622213314,0,3415.653884,0,1.739578238,500,Pre
5,575584.4994,0,0,0,0,107507.3634,0,6790.934042,59226.54707,0,0,36287.42752,73.2856946,0,0,0,0,13.68826265,0,0.864648577,7.540958183,0,0,4.62025877,0,0,0,0,0,0,0,0,0,0,9951.479345,1.267061703,0,0,0,2606.093004,0,1.327272268,500,Pre
6,0,0,0,13509.42276,0,4791.289697,1343.468562,0,31955.5602,682649.7091,29806.68462,21340.54089,0,0,0,1.720073129,0,0.610045951,0.17105573,0,4.068708292,86.91766048,3.795104955,2.717162057,0,27190.21653,0,0,0,3.461965891,0,0,0,0,10869.20282,1.383909885,4263.196325,0.542807015,36185.92915,0,4.607335596,0,500,Pre
7,15142.67172,0,0,30131.21362,0,0,0,0,143213.3233,514268.0754,1285.687055,81355.8342,1.928024844,0,0,3.836425272,0,0,0,0,18.23448666,65.47864502,0.16369876,10.35854653,0,30580.59555,0,9374.385215,0,3.893642356,0,1.193583796,0,0,9574.629969,1.21907975,9787.244708,1.2461507,35239.58791,3.675490432,4.486843687,0.001871912,500,Pre
8,173505.5809,0,0,84270.30303,0,16518.10262,0,11778.73441,291481.8032,136962.2903,0,70879.77341,22.09141668,0,0,10.72962823,0,2.103150145,0,1.499715044,37.11261584,17.43858041,0,9.024693042,0,47029.12589,0,9989.642529,0,5.987934283,0,1.271920791,0,0,8304.225761,1.057326863,11040.9562,1.405778205,26614.82021,3911.502273,3.388704156,1.992111749,500,Pre
9,0,0,0,123390.2731,0,0,0,0,278205.8009,301411.2384,0,82389.40571,0,0,0,15.71053752,0,0,0,0,35.42226273,38.3768708,0,10.49014494,0,22963.68189,0,0,0,2.923826788,0,0,113797.1085,14.48909786,15354.41067,1.954984285,0,0,1254.611163,0,0.159742055,0,500,Pre
10,122675.227,0,0,153296.7172,0,0,0,62871.49995,247640.9241,181575.6076,17336.50491,0,15.61949502,0,0,19.51834425,0,0,0,8.005047997,31.53062174,23.1189244,2.207352362,0,0,70335.89383,0,0,0,8.955444144,0,0,7148.209992,0.910138364,13538.81083,1.723814933,2480.765614,0.315860888,8543.927581,3547.086509,1.087846646,1.806516325,500,Pre
12,269929.5214,0,0,0,0,0,0,239511.536,197249.2394,78706.6162,0,0,34.3684941,0,0,0,0,0,0,30.4955559,25.11455317,10.02123762,0,0,0,44201.67151,0,0,0,5.627931611,0,0,0,0,9875.907756,1.25743963,0,0,38893.9108,6124.19418,4.952126528,3.119026484,500,Pre
13,292037.84,0,0,30141.54377,0,114137.7143,0,1332.792111,59342.13838,286982.9622,1421.498837,0,37.18341265,0,0,3.837740547,0,14.53246514,0,0.169696362,7.555675726,36.53980562,0.180990853,0,0,23764.5349,0,25984.57592,0,3.025794559,0,3.308458961,0,0,5293.672967,0.674011376,0,0,11573.33136,248.6736222,1.473562315,0.126648436,500,Pre
14,17443.01458,0,0,10385.84248,0,0,0,0,551297.1126,115610.1981,90660.30929,0,2.220913594,0,0,1.322366535,0,0,0,0,70.19332846,14.7199476,11.54322909,0,0,23772.66396,0,19969.55932,0,3.026829584,0,2.542603262,0,0,0,0,3475.689791,0.442538569,48947.08396,3230.010156,6.23213629,1.645030664,500,Pre
15,190603.7606,0,76510.74643,54270.54349,0,0,0,9869.276721,359908.6529,88732.99672,5500.931814,0,24.26842453,0,9.741650795,6.909940208,0,0,0,1.25659534,45.82499294,11.29783603,0.700400392,0,0,0,0,9991.236551,0,0,0,1.272123748,0,0,13505.93184,1.719628651,0,0,31181.57367,2385.643025,3.970161266,1.214998015,500,Pre
16,857.3975623,0,0,45978.65668,0,0,0,43499.45343,182134.726,471175.2533,15486.71463,26264.49114,0.109167248,0,0,5.85418439,0,0,0,5.538522428,23.19011356,59.9918965,1.971829749,3.344098874,0,0,0,46738.04252,0,0,0,5.950872398,0,0,13048.60527,1.661400023,4005.606047,0.510009602,55906.54834,0,7.118242815,0,500,Pre
17,132402.9337,0,0,0,0,43793.41816,0,8299.418466,139268.1145,389761.3829,0,71871.26227,16.8580651,0,0,0,0,5.57595118,0,1.056714779,17.73216707,49.62596058,0,9.150933325,0,20523.50725,0,78196.58185,0,2.613134103,0,9.956298027,3649.174331,0.464627306,0,0,11680.61883,1.487222581,46383.25857,2899.753654,5.905699903,1.476832409,500,Pre
18,290595.2654,0,0,42780.53495,0,0,0,10540.80722,416072.2726,0,25407.84612,0,36.99973834,0,0,5.446986885,0,0,0,1.342097259,52.97596709,0,3.235027442,0,0,0,29741.07057,0,0,0,3.786750716,0,0,0,13755.6853,1.751428249,321.7469209,0.04096609,6538.999312,3321.169484,0.832571251,1.691457729,500,Pre
19,78286.77159,0,0,0,0,0,0,0,268940.334,393000.3931,0,45169.06718,9.967781342,0,0,0,0,0,0,0,34.24254684,50.03836416,0,5.751104253,0,0,0,30705.23231,0,0,0,3.909511601,14007.16371,1.783447475,0,0,11308.26013,1.439812398,30384.75665,0,3.868707372,0,500,Pre
